,2020,2021,2022,max,mean,min
jan,9052.0,8250.0,8290.0,8808.0,8612.0,8324.0
feb,7972.0,7940.0,8384.0,8098.0,7954.0,7757.0
mrt,7617.0,9510.0,9428.0,8994.0,8660.0,8299.0
apr,5703.0,8411.0,8166.0,8442.0,7902.0,7351.0
mei,6321.0,7656.0,9102.0,9142.0,8796.0,8575.0
jun,7824.0,9591.0,9608.0,8846.0,8440.0,7861.0
jul,8207.0,8989.0,8951.0,9087.0,8792.0,8464.0
aug,7644.0,7996.0,9328.0,8289.0,8214.0,8157.0
sep,8843.0,8817.0,9440.0,8419.0,8050.0,7752.0
okt,8466.0,8268.0,,8959.0,8686.0,8376.0
nov,8357.0,9014.0,,8790.0,8650.0,8424.0
dec,8552.0,8829.0,,7909.0,7609.0,7435.0
