maand,Stadium,min,max,2017-2019,2020,2021,2022
jan, DCIS,167,185,175.0,192,143,162.0
jan,I,546,588,562.6666666666666,598,507,524.0
jan,II,465,498,486.6666666666667,531,480,419.0
jan,III,124,151,138.3333333333333,143,121,129.0
jan,IV,64,86,76.33333333333333,76,73,70.0
feb, DCIS,140,170,151.6666666666667,173,154,162.0
feb,I,518,536,525.0,519,559,495.0
feb,II,411,459,440.6666666666667,462,443,444.0
feb,III,95,144,121.6666666666667,133,108,112.0
feb,IV,62,66,64.0,83,69,70.0
mrt,IV,52,90,71.0,48,99,83.0
mrt,II,475,509,490.0,368,590,537.0
mrt,III,132,150,144.0,113,165,131.0
mrt, DCIS,153,189,169.0,142,188,174.0
mrt,I,540,661,595.3333333333334,412,668,634.0
apr, DCIS,158,179,167.6666666666667,25,178,143.0
apr,I,478,526,505.0,198,570,533.0
apr,II,369,546,444.3333333333333,265,518,442.0
apr,III,111,143,123.3333333333333,84,136,83.0
apr,IV,61,67,63.33333333333334,61,80,74.0
mei, DCIS,141,169,153.6666666666667,55,145,
mei,I,569,600,582.0,252,519,
mei,II,494,563,533.0,334,440,
mei,III,128,148,140.3333333333333,103,113,
mei,IV,71,87,76.66666666666667,63,70,
jun,III,136,143,138.3333333333333,120,127,
jun,II,412,553,485.0,462,553,
jun,IV,61,74,68.0,81,81,
jun, DCIS,137,167,151.3333333333333,62,177,
jun,I,457,614,536.3333333333334,293,592,
jul, DCIS,168,181,172.6666666666667,76,177,
jul,I,574,604,592.0,377,587,
jul,II,498,525,511.6666666666667,430,504,
jul,III,118,126,122.0,125,138,
jul,IV,63,83,75.66666666666667,84,73,
aug, DCIS,137,157,147.6666666666667,107,165,
aug,I,490,559,527.6666666666666,426,479,
aug,II,438,471,456.3333333333333,446,446,
aug,III,123,130,126.0,131,121,
aug,IV,44,78,65.33333333333333,83,65,
sep,IV,52,67,60.66666666666666,83,92,
sep,II,431,482,451.0,497,472,
sep,III,107,120,111.3333333333333,153,126,
sep, DCIS,122,172,146.0,152,162,
sep,I,509,547,524.6666666666666,485,535,
okt, DCIS,145,191,175.3333333333333,147,158,
okt,I,580,609,597.0,520,564,
okt,II,480,520,495.0,459,493,
okt,III,127,133,130.6666666666667,136,121,
okt,IV,63,79,73.0,83,103,
nov,IV,65,71,67.66666666666667,78,73,
nov,III,102,140,118.3333333333333,117,116,
nov,I,524,612,567.6666666666666,513,636,
nov, DCIS,173,204,188.6666666666667,161,185,
nov,II,466,496,483.0,501,555,
dec,III,96,111,105.0,118,135,
dec, DCIS,148,188,173.0,156,209,
dec,I,491,525,510.0,587,616,
dec,II,389,422,400.6666666666667,479,475,
dec,IV,57,65,61.33333333333334,80,71,
