maand,leeftijdsgroep,min,max,2017-2019,2020,2021,2022
jan, 0-49,297,342,321.6666666666667,321,239,243.0
jan,50-74,870,902,883.0,930,843,863.0
jan, 75+,217,245,235.3333333333333,292,245,233.0
feb, 0-49,243,292,269.6666666666667,265,249,230.0
feb,50-74,818,858,836.3333333333334,877,863,839.0
feb, 75+,180,221,197.6666666666667,229,224,247.0
mrt, 0-49,269,330,302.0,214,324,303.0
mrt,50-74,889,1012,932.3333333333334,695,1111,1014.0
mrt, 75+,222,258,236.3333333333333,174,278,282.0
apr, 0-49,231,286,260.6666666666667,180,280,226.0
apr,50-74,775,912,827.6666666666666,306,942,805.0
apr, 75+,173,264,216.6666666666667,147,263,280.0
mei, 0-49,308,337,321.0,232,254,284.0
mei,50-74,909,926,917.6666666666666,395,807,900.0
mei, 75+,221,272,247.6666666666667,181,236,271.0
jun,50-74,706,942,832.3333333333334,496,995,928.0
jun, 75+,239,265,250.6666666666667,255,278,292.0
jun, 0-49,267,344,296.6666666666667,268,271,298.0
jul, 0-49,269,290,279.6666666666667,252,235,251.0
jul,50-74,922,971,947.0,591,1021,867.0
jul, 75+,227,268,248.6666666666667,249,238,254.0
aug, 0-49,239,252,244.6666666666667,235,249,245.0
aug,50-74,815,877,844.3333333333334,728,806,947.0
aug, 75+,219,264,235.3333333333333,230,237,299.0
sep, 75+,202,233,217.3333333333333,264,253,271.0
sep, 0-49,239,259,251.0,279,260,278.0
sep,50-74,771,869,827.3333333333334,829,899,937.0
okt, 0-49,254,263,258.6666666666667,271,235,
okt,50-74,910,991,961.0,860,940,
okt, 75+,233,273,252.0,218,288,
nov, 0-49,223,270,243.6666666666667,257,264,
nov,50-74,932,1003,958.6666666666666,878,1064,
nov, 75+,215,236,223.3333333333333,237,274,
dec,50-74,780,874,831.6666666666666,998,1023,
dec, 0-49,206,236,220.3333333333333,210,261,
dec, 75+,194,204,198.6666666666667,217,253,
