maand,min,max,2017-2019,2020,2021,2022
jan,233,265,247.6666666666667,264,223,249.0
feb,219,241,230.0,220,226,251.0
mrt,214,255,231.0,210,269,241.0
apr,206,227,219.0,164,240,237.0
mei,250,281,267.6666666666667,208,233,239.0
jun,233,270,249.3333333333333,262,279,284.0
jul,267,272,270.0,290,265,262.0
aug,232,246,238.6666666666667,229,264,276.0
sep,230,252,240.3333333333333,256,241,266.0
okt,243,281,256.6666666666667,258,250,
nov,217,284,246.3333333333333,219,283,
dec,221,238,227.3333333333333,268,227,
