maand,Stadium,min,max,2017-2019,2022
jan,I,17,28,21.0,19.0
jan,II,6,11,8.666666666666666,14.0
jan,III,6,8,7.0,8.0
jan,IV,33,34,33.66666666666666,22.0
feb,I,19,25,22.66666666666667,13.0
feb,II,14,17,15.33333333333333,17.0
feb,III,5,8,6.333333333333333,9.0
feb,IV,24,27,25.33333333333333,24.0
mrt,IV,20,26,23.33333333333333,
mrt,III,5,13,8.0,
mrt,I,17,26,20.33333333333333,
mrt,II,10,14,12.0,
apr,I,11,22,17.66666666666667,
apr,II,6,9,8.0,
apr,III,6,8,7.0,
apr,IV,19,30,24.0,
mei,IV,22,27,24.66666666666667,
mei,I,22,25,24.0,
mei,II,15,18,16.33333333333333,
mei,III,10,13,11.66666666666667,
jun,III,10,12,11.0,
jun,IV,22,24,23.0,
jun,I,19,23,20.66666666666667,
jun,II,7,12,10.0,
jul,I,24,25,24.33333333333333,
jul,II,13,16,14.66666666666667,
jul,III,10,13,11.66666666666667,
jul,IV,23,29,25.33333333333333,
aug,I,18,21,19.66666666666667,
aug,II,7,14,10.66666666666667,
aug,III,5,8,7.0,
aug,IV,19,25,21.66666666666667,
sep,IV,26,35,30.0,
sep,III,5,9,7.0,
sep,I,13,24,17.66666666666667,
sep,II,8,9,8.666666666666666,
okt,I,22,28,25.0,
okt,II,9,15,12.33333333333333,
okt,III,7,18,11.33333333333333,
okt,IV,19,36,26.0,
nov,I,10,23,17.66666666666667,
nov,II,8,15,10.66666666666667,
nov,III,8,10,9.333333333333334,
nov,IV,18,32,26.0,
dec,III,6,13,10.33333333333333,
dec,I,17,20,18.66666666666667,
dec,II,8,12,10.33333333333333,
dec,IV,24,29,26.0,
