maand,Stadium,min,max,2017-2019,2022
jan,I,21,26,22.66666666666667,15.0
jan,II,5,13,9.666666666666666,13.0
jan,III,11,13,12.33333333333333,10.0
jan,IV,9,13,11.33333333333333,9.0
feb,I,20,25,22.66666666666667,32.0
feb,II,5,10,7.666666666666667,4.0
feb,III,10,13,11.33333333333333,14.0
feb,IV,8,12,9.333333333333334,5.0
mrt,IV,8,11,9.666666666666666,8.0
mrt,III,12,15,13.0,16.0
mrt,I,15,22,19.0,16.0
mrt,II,7,11,9.0,9.0
apr,I,14,25,21.0,
apr,II,6,11,8.666666666666666,
apr,III,9,19,13.0,
apr,IV,8,10,9.0,
mei,IV,8,13,11.0,
mei,I,16,24,21.0,
mei,II,7,13,10.0,
mei,III,10,22,15.0,
jun,III,12,19,15.33333333333333,
jun,IV,8,15,10.66666666666667,
jun,I,17,29,23.33333333333333,
jun,II,3,14,10.0,
jul,I,22,30,27.33333333333333,
jul,II,7,9,8.0,
jul,III,7,17,11.66666666666667,
jul,IV,8,20,14.0,
aug,I,16,25,20.33333333333333,
aug,II,8,18,12.33333333333333,
aug,III,7,18,13.0,
aug,IV,9,15,11.66666666666667,
sep,IV,10,12,11.0,
sep,III,12,17,14.66666666666667,
sep,I,12,33,23.33333333333333,
sep,II,8,12,10.0,
okt,I,21,25,23.0,
okt,II,9,11,10.0,
okt,III,10,15,12.33333333333333,
okt,IV,11,21,14.66666666666667,
nov,I,17,29,21.0,
nov,II,8,13,10.66666666666667,
nov,III,13,16,14.66666666666667,
nov,IV,7,16,11.0,
dec,III,8,13,10.0,
dec,I,24,29,25.66666666666667,
dec,II,8,10,8.666666666666666,
dec,IV,3,9,6.666666666666667,
