maand,min,max,2017-2019,2020,2021,2022
jan,5265,9480,7790.333333333333,9787,8529,8947.0
feb,5940,8297,7365.666666666667,8518,7373,8679.0
mrt,8432,9387,8779.666666666666,4531,9796,9622.0
apr,6270,8378,7515.0,3660,8535,8122.0
mei,7252,9519,8623.0,6522,7270,8827.0
jun,7945,8643,8396.0,10058,10631,10050.0
jul,7510,10344,9208.666666666666,10137,9689,9514.0
aug,8060,8754,8427.666666666666,8767,8679,9988.0
sep,8740,10114,9379.0,11307,10931,11704.0
okt,10447,10550,10483.66666666667,10778,10460,
nov,8103,10405,9494.666666666666,9918,11201,
dec,6376,7891,7094.0,8210,9464,
