maand,min,max,2017-2019,2020,2021,2022
jan,474,558,523.0,620,527,549.0
feb,485,516,502.3333333333333,554,493,585.0
mrt,522,569,551.6666666666666,451,636,699.0
apr,425,592,511.3333333333333,291,607,647.0
mei,586,709,642.6666666666666,385,513,811.0
jun,634,792,721.3333333333334,719,984,877.0
jul,658,786,733.0,696,834,899.0
aug,593,695,655.3333333333334,686,635,828.0
sep,539,733,607.6666666666666,790,727,910.0
okt,553,609,587.0,615,643,
nov,511,598,561.3333333333334,569,656,
dec,425,526,461.3333333333333,531,605,
