maand,min,max,2017-2019,2020,2021,2022
jan,1465,1892,1732.0,2079,2029,1944.0
feb,1366,1860,1615.0,1804,1817,1965.0
mrt,1509,1803,1693.666666666667,1284,2254,2087.0
apr,1275,1810,1616.0,1319,2056,1906.0
mei,1588,1999,1789.333333333333,1835,1819,2103.0
jun,1637,2029,1806.333333333333,2391,2464,2390.0
jul,1663,2144,1974.333333333333,2509,2234,2320.0
aug,1586,2044,1864.666666666667,2137,2202,2446.0
sep,1833,2090,1951.333333333333,2539,2452,2457.0
okt,1958,2269,2159.333333333333,2385,2234,
nov,2071,2205,2116.333333333333,2247,2430,
dec,1597,1841,1693.0,2113,2164,
