maand,min,max,2017-2019,2020,2021,2022
jan,1050,1297,1195.666666666667,1439,1372,1339.0
feb,988,1254,1105.0,1380,1133,1392.0
mrt,1188,1292,1256.0,734,1632,1598.0
apr,1064,1394,1234.0,524,1433,1315.0
mei,1199,1528,1355.0,1015,1252,1509.0
jun,1359,1417,1379.0,1682,1845,1648.0
jul,1223,1548,1417.333333333333,1846,1565,1521.0
aug,1138,1403,1244.333333333333,1413,1434,1488.0
sep,1202,1573,1334.666666666667,1786,1737,1659.0
okt,1264,1579,1419.0,1623,1612,
nov,1343,1537,1426.666666666667,1545,1709,
dec,1061,1301,1155.0,1260,1474,
