maand,min,max,2017-2019,2020,2021,2022
jan,241,303,268.3333333333333,254,304,247.0
feb,239,241,240.3333333333333,252,291,241.0
mrt,270,289,282.0,293,282,267.0
apr,238,276,254.6666666666667,256,256,203.0
mei,259,302,275.0,241,258,252.0
jun,260,263,261.6666666666667,276,322,241.0
jul,273,298,283.3333333333333,300,300,245.0
aug,256,279,268.3333333333333,269,266,249.0
sep,225,267,250.0,280,292,236.0
okt,243,295,264.6666666666667,292,284,
nov,269,301,286.3333333333333,287,314,
dec,243,276,258.6666666666667,292,300,
