maand,min,max,2017-2019,2020,2021,2022
jan,329,391,356.3333333333333,381,292,285.0
feb,302,351,321.6666666666667,318,337,300.0
mrt,325,359,344.3333333333333,272,380,371.0
apr,301,333,320.6666666666667,245,357,321.0
mei,342,368,355.3333333333333,319,318,369.0
jun,320,330,325.3333333333333,365,343,367.0
jul,354,358,355.6666666666667,351,373,368.0
aug,336,358,345.6666666666667,326,360,367.0
sep,292,333,314.6666666666667,352,334,356.0
okt,308,363,327.6666666666667,292,356,
nov,314,343,332.3333333333333,344,356,
dec,287,327,310.0,345,307,
