maand,min,max,2017-2019,2020,2021,2022
jan,973,1074,1030.0,1059,976,997.0
feb,891,999,953.6666666666666,986,876,973.0
mrt,981,1093,1032.333333333333,988,1100,1086.0
apr,864,996,948.6666666666666,747,989,934.0
mei,1071,1159,1106.666666666667,858,949,1067.0
jun,927,1102,1036.333333333333,1045,1174,1124.0
jul,974,1160,1070.0,1091,1100,1086.0
aug,1029,1072,1056.333333333333,959,1005,1164.0
sep,935,1026,972.0,1098,1076,1028.0
okt,993,1086,1054.666666666667,1045,949,
nov,1006,1027,1013.333333333333,970,1021,
dec,905,975,949.3333333333334,1063,1121,
