maand,min,max,2017-2019,2020,2021,2022
jan,8328,8808,8615.0,9051,8266,8259.0
feb,7757,8098,7954.0,7976,7945,8371.0
mrt,8300,8994,8660.666666666666,7623,9531,9467.0
apr,7351,8443,7902.0,5703,8455,8158.0
mei,8574,9144,8796.666666666666,6322,7691,9039.0
jun,7863,8845,8441.666666666666,7831,9629,9574.0
jul,8464,9090,8793.333333333334,8216,9043,8921.0
aug,8157,8290,8216.0,7648,8066,9266.0
sep,7753,8422,8051.333333333333,8852,8849,9390.0
okt,8377,8960,8687.333333333334,8475,8289,
nov,8425,8791,8651.0,8376,9062,
dec,7437,7912,7611.666666666667,8565,8849,
