maand,min,max,2017-2019,2020,2021,2022
jan,528,574,551.6666666666666,602,521,565.0
feb,479,508,490.6666666666667,502,553,570.0
mrt,558,606,579.6666666666666,560,595,689.0
apr,473,581,527.3333333333334,471,545,544.0
mei,512,593,565.0,407,571,559.0
jun,516,571,537.3333333333334,481,634,693.0
jul,517,547,534.3333333333334,558,525,515.0
aug,504,579,534.6666666666666,472,515,616.0
sep,517,553,536.3333333333334,603,545,636.0
okt,514,561,544.0,567,539,
nov,527,582,547.3333333333334,546,553,
dec,467,514,490.6666666666667,522,633,
