maand,cstadium,min,max,2018-2019,2020,2021
jan,II,55,63,59.0,69,71
jan,III,44,53,48.5,50,37
jan,IV,31,37,34.0,32,27
feb,II,46,50,48.0,55,68
feb,III,30,43,36.5,41,47
feb,IV,27,28,27.5,29,26
mrt,II,59,80,69.5,64,71
mrt,III,49,51,50.0,37,48
mrt,IV,28,38,33.0,27,32
apr,II,58,65,61.5,70,59
apr,III,39,44,41.5,40,43
apr,IV,14,23,18.5,23,32
mei,II,62,76,69.0,62,62
mei,III,50,51,50.5,30,35
mei,IV,28,32,30.0,23,25
jun,III,39,43,41.0,38,45
jun,IV,26,32,29.0,31,35
jun,II,58,70,64.0,72,74
jul,II,63,67,65.0,77,60
jul,III,45,48,46.5,43,30
jul,IV,30,33,31.5,23,20
aug,II,59,71,65.0,62,66
aug,III,34,52,43.0,41,38
aug,IV,21,36,28.5,26,31
sep,IV,31,34,32.5,37,34
sep,II,65,75,70.0,85,54
sep,III,41,45,43.0,48,55
okt,II,61,74,67.5,43,77
okt,III,46,51,48.5,52,41
okt,IV,25,42,33.5,25,33
nov,II,56,65,60.5,74,80
nov,III,36,48,42.0,42,43
nov,IV,30,36,33.0,34,41
dec,III,38,38,38.0,47,49
dec,II,42,65,53.5,58,66
dec,IV,28,34,31.0,21,35
