maand,min,max,2017-2019,2020,2021,2022
jan,180,206,190.6666666666667,187,194,162.0
feb,149,169,160.6666666666667,157,153,155.0
mrt,185,218,199.3333333333333,194,209,171.0
apr,158,192,179.3333333333333,143,177,165.0
mei,169,178,173.6666666666667,150,143,145.0
jun,162,183,173.6666666666667,152,191,193.0
jul,172,186,178.0,149,189,153.0
aug,140,178,161.3333333333333,142,165,185.0
sep,172,187,179.6666666666667,200,207,186.0
okt,176,223,200.0,167,175,
nov,160,190,178.6666666666667,192,199,
dec,165,181,174.3333333333333,186,187,
