maand,min,max,2018-2019,2020,2021,2022
jan,1075,1165,1114.333333333333,1269,1138,1157.0
feb,971,1105,1042.666666666667,1017,1041,1253.0
mrt,1041,1095,1076.666666666667,1027,1230,1295.0
apr,867,1094,978.6666666666666,796,1085,1149.0
mei,955,1135,1028.0,771,881,1154.0
jun,954,982,965.6666666666666,869,1114,1201.0
jul,897,1106,1002.666666666667,903,1053,1072.0
aug,870,976,915.3333333333334,874,929,1027.0
sep,889,1024,939.6666666666666,1066,1067,1168.0
okt,998,1146,1080.666666666667,1103,1040,
nov,1105,1139,1125.666666666667,1132,1146,
dec,853,1072,938.0,1083,1213,
