maand,min,max,2017-2019,2020,2021,2022
jan,1977,2063,2007.333333333333,2209,2013,2033.0
feb,1748,1892,1833.0,1825,1898,2118.0
mrt,1971,2031,2001.333333333333,1927,2175,2293.0
apr,1625,1956,1816.0,1556,1944,1974.0
mei,1794,2060,1923.666666666667,1451,1730,2007.0
jun,1812,1826,1818.0,1679,2102,2225.0
jul,1752,2003,1878.0,1746,1931,1884.0
aug,1641,1808,1745.0,1619,1734,1977.0
sep,1737,1913,1798.666666666667,2026,1975,2134.0
okt,1844,2067,1985.666666666667,1978,1886,
nov,1964,2039,2000.0,2027,2071,
dec,1665,1895,1749.333333333333,1928,2189,
